Tweet,mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
'@RockSolidShow @Pat_Francis #revolting cocks if you think I\"m sexy!',1,0,1,0,3,0,2.952,-2.166,1.318,-7.088,0,0,0,0,0,0,0,0,0,0,0.463636,0.461045,0.351392,0.577673,0.500982,0.205972,0.308802,0.590034,1.88271,1.381736,0.215928,0.080957,1.837707,0,0,0,0.648776,0.753494,0.692478,-0.125,0,0,0
'@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid',1,0,0,0,0,0,3.263,-1.634,3.06,-3.299,0,1,0,0,0,0,0,0,0,0,0.599126,1.020818,0.561794,0.630983,0.834317,0.381841,0.481669,0.959988,2.57276,2.829712,0.878371,1.119918,0.29049,3.156937,1.08148,0,0.848225,0.902895,0.890667,-0.416667,0,0,0
'“What worries you masters you.�? - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious',1,1,1,1,0,-3,4.524,-0.062,0.72,-3.217,0,0,0,0,0,0,0,0,0,0,0.217454,0.854404,0.09493,0.210011,0.995113,0.10595,0.401813,1.40485,0.750796,2.369591,0.233954,0.882932,0.177592,6.340757,1.372584,0.575426,0.4292,1.317294,0.1875,0,0,0,0
'@carlybigelow13 first you take the room now you wanna beat me up ',0,0,0,0,0,0,2.105,-1.609,1.238,-1.636,0,0,0,0,0,0,0,0,0,0,0.686091,0.594249,0.59515,0.609581,0.477225,0.373403,0.260951,0.739563,2.24352,1.473653,1.17201,0.240074,0.26391,0.170287,0,0.128485,0.460166,0.332915,0.806698,0,0,0,0
'@RogueCoder250 We are in so much trouble!! I don\"t think the Rev will see the funny side of our project. #nervous',2,1,0,2,4,-2,3.921,-2.072,4.045,-4.203,0,0,0,0,0,0,0,1,0,1,1.435517,1.199919,1.067615,1.522007,0.963575,0.713667,0.776345,1.402765,4.789443,2.830002,0.426892,0.654182,0.34007,2.193286,0.947523,0.024296,0.971565,0.916465,0.630126,-1.14053,0,0,0
'@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.',0,1,0,1,0,-2,1.201,-2.087,2.63,-4.147,1,0,0,1,0,0,0,0,1,0,1.044357,0.748974,0.702108,0.950055,0.625416,0.491021,0.456202,1.142804,3.439591,2.366965,0.17207,0,1.644763,0.031683,0.619082,0.444627,0.784188,0.568415,1.162118,-0.436301,0,0,0
'3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friends🕯',1,3,0,3,0,-7,2.886,-5.023,3.405,-4.055,2,0,1,2,0,2,0,0,3,0,1.072976,1.219605,1.037106,1.122863,1.476908,0.536844,0.521578,1.710537,3.742603,3.369379,0.19581,0.501868,1.558434,2.238956,2.03304,1.875195,0.426949,0.839176,0.650595,-2.703278,0,0,0
'@WunderlistHelp are you guys still down? When can we go up? ',0,1,0,0,0,0,2.308,-1.889,0.264,-3.173,0,0,0,0,0,0,0,0,0,0,0.711585,0.708194,0.420552,0.680305,0.5151,0.23593,0.350335,0.659859,2.560288,1.424461,0.793285,0.051318,0.636203,0.246707,0,0.024296,0.090337,0.31775,0.405536,-0.786111,0,0,0
'@City_tv  is like the big bully in class ruining everyone\"s lunch but instead of taking our lunch money they took away family feud #bully',1,1,1,2,3,-4,2.604,-5.07,3.845,-9.224,3,1,0,1,1,0,1,1,2,1,1.381572,0.91343,1.280947,1.298987,1.07765,0.970495,0.412407,1.044254,4.276924,2.346942,1.505713,0.119527,3.19223,0.210092,1.068816,1.772603,2.098619,0.380834,1.676458,-0.260417,0,0,0
'@Jchawes What is your favorite #horror movie? #ghosthunters',1,0,1,0,2,0,3.498,-0.115,1.281,-4.313,0,0,0,0,1,0,0,1,0,1,0.418559,0.371693,0.411137,0.59585,0.30669,0.209034,0.252753,0.265388,1.647553,0.606277,0.036483,0.347621,0.31829,1.141023,0.504867,0.495801,0.64332,0,0.302083,0,0,0,0
